scrape_datetime,base_url,category,product_url,product_name,catalog_code,stock_code,availability,buying_option,price
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-14-2-cu-1000-14awg-solid-nm-b-cable-copper-black-white-2-conductor-reel-of-1000ft,"NM-B-14/2-CU-1000, 14AWG, Solid, NM-B Cable, Copper, Black/White, 2 Conductor, Reel of 1000ft",NM-B-14/2-CU-1000,0041-9148,Available: (2000 Feet),Reel of 1000 Feet,$412.74 per 1000
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-12-3-cu-250c-12awg-solid-nm-b-cable-copper-black-red-white-3-conductor-coil-of-250ft,"NM-B-12/3-CU-250C, 12AWG, Solid, NM-B Cable, Copper, Black/Red/White, 3 Conductor, Coil of 250ft",NM-B-12/3-CU-250C,0041-4165,Available: (14500 Feet),Coil of 250 Feet,$808.82 per 1000
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-6-3-cu-1000r-6awg-stranded-nm-b-cable-copper-black-red-white-3-conductor-reel-of-1000ft,"NM-B-6/3-CU-1000R, 6AWG, Stranded, NM-B Cable, Copper, Black/Red/White, 3 Conductor, Reel of 1000ft",NM-B-6/3-CU-1000R,0007-9615,Available: (7000 Feet),Reel of 1000 Feet,"$3,607.38 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-8-3-cu-1000r-8awg-stranded-nm-b-cable-copper-black-red-white-3-conductor-reel-of-1000ft,"NM-B-8/3-CU-1000R, 8AWG, Stranded, NM-B Cable, Copper, Black/Red/White, 3 Conductor, Reel of 1000ft",NM-B-8/3-CU-1000R,0007-9630,Available: (7000 Feet),Reel of 1000 Feet,"$2,468.43 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-6-2-cu-1000-6awg-stranded-nm-b-cable-copper-black-white-2-conductor-w-ground-reel-of-1000-ft,"NM-B-6/2-CU-1000, 6AWG, Stranded, NM-B Cable, Copper, Black/White, 2 Conductor w/Ground, Reel of 1000 ft",NM-B-6/2-CU-1000,0013-2022,Available: (7000 Feet),Reel of 1000 Feet,"$2,476.33 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-8-2-cu-1000r-8awg-stranded-nm-b-cable-copper-black-white-2-conductor-reel-of-1000-ft,"NM-B-8/2-CU-1000R, 8AWG, Stranded, NM-B Cable, Copper, Black/White, 2 Conductor, Reel of 1000 ft",NM-B-8/2-CU-1000R,0013-1713,Available: (2000 Feet),Reel of 1000 Feet,"$1,753.39 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-6-3-cu-125c-6awg-stranded-nm-b-cable-copper-black-red-white-3-conductor-coil-of-125ft,"NM-B-6/3-CU-125C, 6AWG, Stranded, NM-B Cable, Copper, Black/Red/White, 3 Conductor, Coil of 125ft",NM-B-6/3-CU-125C,0041-9283,Available: (500 Feet),Coil of 125 Feet,"$3,607.38 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-12-2-250c-12awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-12/2-250C, 12AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-12/2-250C,0008-4316,Available: (120000 Feet),Coil of 250 Feet,$707.14 per 1000
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-12-3-250c-12awg-solid-aluminum-armor-cable-copper-black-green-red-white-3-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-12/3-250C, 12AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/Red/White, 3 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-12/3-250C,0042-0942,Available: (10500 Feet),,"$1,248.61 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-10-2-250c-10awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-10/2-250C, 10AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-10/2-250C,0008-4310,Available: (28250 Feet),Coil of 250 Feet,"$1,614.74 per 1000"
